(r ⇿ r) → q;7487876;3611704;false;0
¬p → q;6573842;3611688;false;0
(p ∧ q) → r;7032268;3611704;false;0
(q ⇿ q) → r;6172344;3611704;false;0
(p ⇿ p) → p;6224341;3611704;false;0
(p → r) → q;5988886;3611704;false;0
(p ⇿ q) → p;6115151;3611704;false;0
(r ∨ r) → p;6227801;3611704;false;0
(r ⇿ r) → p;6092948;3611704;false;0
(p ∨ q) → p;6513445;3611704;false;0
(p → r) → r;6016925;3611704;false;0
(r ∧ r) → r;6595002;3611704;true;0
(p ∧ p) ⇿ q;6212097;3611704;false;0
(q ⇿ q) ⇿ q;8847903;3611704;false;0
(r ⇿ r) ⇿ r;6426151;3611704;false;0
(q ⇿ r) ⇿ r;6605547;3611704;false;0
(r ∨ r) ⇿ r;5751805;3611704;true;0
(p → p) ⇿ r;7107546;3611704;false;0
(r ∧ r) ⇿ r;6095006;3611704;true;0
(q → r) ⇿ r;5801718;3611704;false;0
(q ∨ q) ⇿ r;6175515;3611704;false;0
(r ∧ r) ⇿ q;5910901;3611704;false;0
(q → r) ⇿ q;7052547;3611704;false;0
¬B₃r;6029445;3162496;false;1
¬M₁p;5889002;3611680;false;1
¬M₂q;6189619;3611680;false;1
¬M₃r;5467040;3611680;false;1
¬B₁r;6078967;3611568;false;1
¬M₁q;6840975;3611680;false;1
¬M₃q;6334505;3611680;false;1
¬M₃p;5816725;3611680;false;1
¬M₂r;6057468;3611680;false;1
B₂r ∧ q;7368877;3611912;false;1
M₁r ∧ q;10052775;3611800;false;1
M₂r ∧ q;5759006;3611800;false;1
B₂q ∧ q;7173868;3611912;false;1
B₃p ∧ r;6600875;3611912;false;1
M₃p ∧ q;6315492;3611800;false;1
M₁q ∧ p;6037520;3611800;false;1
B₃q ∧ p;8601523;3611912;false;1
M₂q ∧ p;9782012;3611800;false;1
M₃r ∧ r;7126717;3611800;false;1
q ∨ B₃p;6020622;3611912;false;1
B₂p ∨ q;6273935;3612000;false;1
M₁p ∨ p;7744138;3611888;false;1
B₁q ∨ p;6353114;3612000;false;1
B₁r ∨ q;6800727;3612000;false;1
M₁p ∨ r;6899214;3611888;false;1
B₃q ∨ q;7362763;3612000;false;1
B₂q ∨ p;6900224;3612000;false;1
M₁q ∨ p;6568177;3611888;false;1
B₁p ∨ r;6177543;3612000;false;1
M₂r ∨ r;7023517;3611888;false;1
M₃p → r;6910725;3612000;false;1
M₁q → r;6151729;3612000;false;1
B₃p → q;6103742;3611888;false;1
M₃q → r;6601119;3612000;false;1
M₃r → q;5863683;3612000;false;1
M₁p → r;5780271;3612000;false;1
M₁r → r;5931538;3612000;false;1
B₁q → r;6312567;3611888;false;1
B₁q → q;6728772;3611888;false;1
r ⇿ M₁p;7336461;3611888;false;1
M₂q ⇿ r;6328595;3612000;false;1
B₁p ⇿ r;6425927;3611888;false;1
M₃p ⇿ r;5942275;3612000;false;1
B₂r ⇿ q;6324137;3611888;false;1
B₁r ⇿ q;6542495;3611888;false;1
M₁q ⇿ r;6185196;3612000;false;1
B₃r ⇿ q;6377483;3611888;false;1
B₁p ⇿ p;6611024;3611888;false;1
M₂r ⇿ r;6160338;3612000;false;1
M₁p ⇿ r;6034898;3612000;false;1
B₃r ⇿ p;6416510;3611888;false;1
B₃p ⇿ p;7157172;3611888;false;1
B₂q ⇿ p;6258095;3611888;false;1
M₃p ⇿ p;5986460;3612000;false;1
M₁(r → r);7418241;3611888;true;1
M₁(p → p);6539485;3611888;true;1
M₁(r ∧ r);10033018798;3611936;false;1
M₁(p ∧ q);10043572375;3611936;false;1
M₁(r → p);10003978979;3611984;false;1
M₁(q → q);4321028;3611984;true;1
M₁(p → r);10005288799;3611984;false;1
M₁(p → q);10005586261;3611984;false;1
M₁(q ⇿ r);10015323385;3612032;false;1
M₁(r ⇿ r);6138959;3612032;true;1
M₁(p ∧ r);10053297988;3612032;false;1
M₁¬r;10004323467;3612016;false;1
M₁(p ∧ p);10014397923;3612032;false;1
M₁(q → p);10004286057;3612032;false;1
M₁(p ⇿ r);10016278652;3612032;false;1
M₁¬p;10004083425;3612016;false;1
M₁¬q;10005314722;3612016;false;1
M₁(p ∨ q);10005448168;3612080;false;1
M₂(q ∧ r);10016610554;3612080;false;1
M₂(p → r);10003981750;3612080;false;1
M₂(q → q);6690139;3612080;true;1
M₂(p → q);10004785130;3612080;false;1
M₂(q ∧ q);10013716818;3612080;false;1
M₂(p ∧ r);10082097340;3612080;false;1
M₂¬p;10005384322;3612064;false;1
M₂(r ⇿ r);7242660;3612080;true;1
M₂(p ∨ q);10083310561;3612080;false;1
M₂(q → r);10005526953;3612080;false;1
M₂(q → p);10004729528;3612080;false;1
M₂(q ∨ r);10004545666;3612080;false;1
M₂(p ⇿ p);8132955;3612080;true;1
M₂(q ⇿ r);10042439432;3612080;false;1
M₂¬r;10004783946;3612064;false;1
M₃(q → q);6818422;3612080;true;1
M₃(p ∧ r);10039338148;3612080;false;1
M₃(p ∨ r);10005352798;3612080;false;1
M₃(r → p);10005269071;3612080;false;1
M₃¬p;10004118278;3612064;false;1
M₃(r ⇿ r);7456656;3612080;true;1
M₃(q → p);10005481405;3612080;false;1
M₃(q → r);10005102040;3612080;false;1
M₃(q ∧ q);10013649401;3612080;false;1
M₃(p ⇿ r);10046849324;3612080;false;1
M₃(r → r);7359506;3612080;true;1
M₃(r ∨ r);10004270217;3612080;false;1
M₃¬q;10004659973;3612064;false;1
M₃(p → q);10004156722;3612080;false;1
M₃(p ∨ q);10005681664;3612080;false;1
M₃(q ∧ r);10017385214;3612080;false;1
M₃(r ∧ r);10014925777;3612080;false;1
B₁(q ⇿ r);7798851;3612192;false;1
B₁(q → p);7086515;3612192;false;1
B₁(q → r);6596615;3612192;false;1
B₁(q ∨ r);7463762;3612192;false;1
B₁(p → q);6672448;3612192;false;1
B₁(q ∧ q);8688078;3612192;false;1
B₁(q → q);8769337;3612192;true;1
B₁(q ⇿ q);8947166;3612192;true;1
B₁(p ∨ q);7826877;3612192;false;1
B₁(r → q);9585568;3612192;false;1
B₁(p → p);10468187;3612192;true;1
B₁(q ∧ r);8293108;3612192;false;1
B₁(p ⇿ q);7524096;3612192;false;1
B₁(r → r);8907869;3612192;true;1
B₁(p ∧ p);7925422;3612192;false;1
B₁(p ∧ q);7895263;3612192;false;1
B₂(p ∨ r);7787002;3612192;false;1
B₂(q ∨ r);6796265;3612192;false;1
B₂(p → p);7761566;3612192;true;1
B₂(q ⇿ q);7218315;3612192;true;1
B₂(p ∧ p);7636404;3612192;false;1
B₂(q ∧ q);7045712;3612192;false;1
B₂(p ∨ q);6788830;3612192;false;1
B₂¬p;7442514;3612176;false;1
B₂(r → p);8490535;3612192;false;1
B₂(r ∨ r);6429183;3612192;false;1
B₂(p ∧ r);7226224;3612192;false;1
B₂(q ∨ q);7176957;3612192;false;1
B₂¬q;6999851;3612176;false;1
B₂(p → r);6308032;3612192;false;1
B₂(r → q);7414393;3612192;false;1
B₂(r ⇿ r);7311452;3612192;true;1
B₃¬q;13548729;3612176;false;1
B₃(q → q);8796566;3612192;true;1
B₃(p ∧ q);7180911;3612192;false;1
B₃(r ⇿ r);6875978;3612192;true;1
B₃(q ⇿ q);7625732;3612192;true;1
B₃(q ∨ r);7394553;3612192;false;1
B₃(p → q);6402594;3612192;false;1
B₃(q ⇿ r);6618075;3612192;false;1
B₃(q ∨ q);7100140;3612192;false;1
B₃(p ⇿ q);6786280;3612192;false;1
B₃(p ⇿ p);7201634;3612192;true;1
B₃(p ∨ p);7228533;3612192;false;1
B₃(p ⇿ r);7555881;3612192;false;1
B₃(r → q);6787099;3612192;false;1
B₃(r ∧ r);7135290;3612192;false;1
B₃(r ∨ r);6864521;3612192;false;1
B₃(p → r);6520765;3612192;false;1
B₃(q → r);6801099;3612192;false;1
M₁M₁p;10063459898;3779088;false;2
M₁M₁q;10036063188;3787696;false;2
M₁M₃r;10017152088;3787696;false;2
M₁M₁r;10052109368;3787696;false;2
M₁B₂p;10057242550;3787696;false;2
M₁B₃r;10046049734;3788192;false;2
M₁B₁q;10014842897;3787744;false;2
M₁B₃p;10083591934;3787296;false;2
M₂B₂p;10057283394;3788240;false;2
M₂M₃q;10083858202;3788240;false;2
M₂M₂q;10044216807;3787792;false;2
M₂B₃q;10085421822;3788240;false;2
M₂B₁r;10027650584;3787792;false;2
M₂M₁q;10079743524;3788240;false;2
M₂B₂q;10052607608;3788240;false;2
M₂B₁q;10030528299;3787792;false;2
M₂M₃r;10049579214;3785104;false;2
M₂M₂r;10035797300;3777040;false;2
M₂M₁r;10031562559;3785104;false;2
M₃M₁q;10014314435;3785552;false;2
M₃M₂r;10060382339;3785552;false;2
M₃B₂q;10073424209;3783760;false;2
M₃B₃p;10014635568;3785552;false;2
M₃M₃q;10008821947;3785552;false;2
M₃B₁r;10023622943;3785552;false;2
M₃M₁p;10032542137;3785552;false;2
M₃M₃r;10014764999;3785552;false;2
M₃M₂q;10025335147;3785104;false;2
B₁B₂q;7185370;3614096;false;2
B₁M₃p;9243353;3613408;false;2
B₁B₂p;7204107;3614096;false;2
B₁M₂r;6798830;3613408;false;2
B₁B₁r;6402339;3614096;false;2
B₁M₂q;8318241;3613408;false;2
B₁B₁q;11155799;3614096;false;2
B₁M₁q;8557326;3613408;false;2
B₁B₃r;8583813;3614096;false;2
B₁M₃q;10236438;3613408;false;2
B₂M₃q;8313143;3613408;false;2
B₂M₁q;7841528;3613408;false;2
B₂B₃r;7935539;3614096;false;2
B₂M₁p;8137348;3613408;false;2
B₂B₁p;7141784;3614096;false;2
B₂M₃r;7273145;3613408;false;2
B₂M₂r;7204096;3613408;false;2
B₂B₁r;7586026;3614096;false;2
B₂B₃q;6272287;3614096;false;2
B₂M₃p;6656893;3613408;false;2
B₃M₂q;7545757;3613408;false;2
B₃B₁p;7022974;3614096;false;2
B₃B₂r;7190080;3614096;false;2
B₃M₃r;7001723;3613408;false;2
B₃B₃q;7219774;3614096;false;2
B₃B₃p;6380444;3614096;false;2
B₃M₃p;9209448;3613408;false;2
B₃M₂r;6812458;3613408;false;2
